pdb,radius,compactness,openness,n_pocket_res
5fqs.pdb,6.7881245613098145,0.9225980043411255,7.933274269104004,7
5fqt.pdb,6.699527740478516,0.9782508015632629,7.758546352386475,7
5fqv.pdb,6.856827735900879,0.9975347518920898,7.972559452056885,8
5gs4.pdb,5.997262477874756,1.238474726676941,7.654221534729004,12
5gtr.pdb,6.450999736785889,1.2448365688323975,7.940847873687744,15
5hyr.pdb,6.268877983093262,1.3614739179611206,7.926706314086914,13
5jmm.pdb,5.843361854553223,1.8066736459732056,7.956080436706543,15
5kcc.pdb,6.2971296310424805,1.3693807125091553,7.787370204925537,14
5kcd.pdb,6.361325263977051,1.3817410469055176,7.8632073402404785,14
5kce.pdb,4.673605918884277,1.7552881240844727,7.423315525054932,10
5kcf.pdb,5.95807409286499,1.3593946695327759,7.862138271331787,12
5kct.pdb,6.309781551361084,1.36661696434021,7.907399654388428,13
5kcu.pdb,6.202991008758545,1.3472468852996826,7.958234786987305,12
5kcw.pdb,4.6885271072387695,1.7757281064987183,7.691896438598633,10
5kd9.pdb,5.4143524169921875,1.5674281120300293,7.216058254241943,11
5kr9.pdb,6.5465192794799805,1.4217655658721924,7.914740085601807,16
5kra.pdb,5.974883079528809,1.8277864456176758,7.8712639808654785,14
5krc.pdb,6.562190055847168,1.4220640659332275,7.888632297515869,16
5krf.pdb,6.484153747558594,1.4194490909576416,7.778839588165283,16
5krh.pdb,6.486030101776123,1.4185099601745605,7.921196460723877,15
5kri.pdb,5.751436233520508,1.5983998775482178,7.960442543029785,12
